Category	Ticker	Date	Open	Close	High	Low
EVs	TSLA	2021-05-21	198.703339	193.626663	198.893326	193.333328
EVs	TSLA	2021-05-22	196.29	197.89	201.86	192.27
EVs	TSLA	2021-05-23	195.08	200.02	203.34	191.74
EVs	TSLA	2021-05-24	193.866669	202.146667	204.82666	191.21666
EVs	TSLA	2021-05-25	202.436661	201.563339	204.66333	198.570007
EVs	TSLA	2021-05-26	202.520004	206.376663	208.723328	200.5
EVs	TSLA	2021-05-27	206.746674	210.28334	210.376663	205.403336
EVs	TSLA	2021-05-28	209.5	208.406662	211.863327	207.460007
EVs	TSLA	2021-05-29	209.38	208.19	211.56	207.16
EVs	TSLA	2021-05-30	209.32	208.08	211.41	207.01
EVs	TSLA	2021-05-31	209.29	208.02	211.34	206.93
EVs	TSLA	2021-06-01	209.266663	207.96666	211.266663	206.850006
EVs	TSLA	2021-06-02	206.710007	201.706665	207.786667	199.713333
EVs	TSLA	2021-06-03	200.600006	190.946671	201.516663	190.406662
EVs	TSLA	2021-06-04	193.236664	199.683334	200.203339	192.399994
EVs	TSLA	2021-06-05	195.26	200.7	201.77	193.35
EVs	TSLA	2021-06-06	196.27	201.21	202.55	193.82
EVs	TSLA	2021-06-07	197.276672	201.710007	203.333328	194.293335
EVs	TSLA	2021-06-08	207.669998	201.196671	207.696671	198.5
EVs	TSLA	2021-06-09	200.723328	199.593338	203.929993	199.210007
EVs	TSLA	2021-06-10	201.293335	203.373337	205.529999	200.166672
EVs	TSLA	2021-06-11	203.410004	203.296661	204.186661	200.506668
EVs	TSLA	2021-06-12	203.74	204.6	206.34	201.78
EVs	TSLA	2021-06-13	203.91	205.25	207.42	202.42
EVs	TSLA	2021-06-14	204.07666	205.896667	208.496674	203.059998
EVs	TSLA	2021-06-15	205.563339	199.786667	205.596664	199.410004
EVs	TSLA	2021-06-16	199.179993	201.623337	202.833328	197.833328
EVs	TSLA	2021-06-17	200.630005	205.53334	207.156662	200.446671
EVs	TSLA	2021-06-18	204.456665	207.770004	209.449997	203.933334
EVs	TSLA	2021-06-19	206.31	207.36	209.96	203.45
EVs	TSLA	2021-06-20	207.24	207.15	210.21	203.21
EVs	TSLA	2021-06-21	208.160004	206.943329	210.463333	202.960007
EVs	TSLA	2021-06-22	206.083328	207.903336	209.523331	205.166672
EVs	TSLA	2021-06-23	210.666672	218.856674	219.066666	210.013336
EVs	TSLA	2021-06-24	224.996674	226.606674	232.539993	222.536667
EVs	TSLA	2021-06-25	229.860001	223.956665	231.270004	222.899994
EVs	TSLA	2021-06-26	226.87	226.76	231.42	223.17
EVs	TSLA	2021-06-27	225.38	228.17	231.49	223.31
EVs	TSLA	2021-06-28	223.880005	229.573334	231.566666	223.440002
EVs	TSLA	2021-06-29	228.21666	226.919998	229.169998	225.296661
EVs	TSLA	2021-06-30	226.589996	226.566666	230.936661	226.046661
EVs	TSLA	2021-07-01	227.973328	225.973328	229.330002	224.266663
EVs	TSLA	2021-07-02	226.32666	226.300003	233.333328	224.419998
EVs	TSLA	2021-07-03	226.78	223.08	230.67	220.78
EVs	TSLA	2021-07-04	227.01	221.47	229.33	218.96
EVs	TSLA	2021-07-05	227.12	220.67	228.67	218.05
EVs	TSLA	2021-07-06	227.236664	219.860001	228.0	217.133331
EVs	TSLA	2021-07-07	221.42334	214.883331	221.899994	212.773331
EVs	TSLA	2021-07-08	209.456665	217.603333	218.143326	206.820007
EVs	TSLA	2021-07-09	217.726669	218.983337	219.636673	214.896667
EVs	TSLA	2021-07-10	219.23	223.78	224.36	217.81
EVs	TSLA	2021-07-11	219.98	226.17	226.72	219.27
EVs	TSLA	2021-07-12	220.733337	228.566666	229.080002	220.720001
EVs	TSLA	2021-07-13	228.773331	222.846664	231.093338	222.100006
EVs	TSLA	2021-07-14	223.583328	217.793335	226.203339	217.613327
EVs	TSLA	2021-07-15	219.463333	216.866669	222.046661	212.626663
EVs	TSLA	2021-07-16	218.226669	214.740005	218.899994	214.066666
EVs	TSLA	2021-07-17	214.1	215.07	217.32	210.58
EVs	TSLA	2021-07-18	212.03	215.24	216.53	208.84
EVs	TSLA	2021-07-19	209.963333	215.406662	215.733337	207.096664
EVs	TSLA	2021-07-20	217.330002	220.166672	220.796661	213.5
EVs	TSLA	2021-07-21	219.869995	218.429993	221.619995	216.763336
EVs	TSLA	2021-07-22	218.813339	216.419998	220.723328	214.866669
EVs	TSLA	2021-07-23	215.453339	214.460007	216.266663	212.433334
EVs	TSLA	2021-07-24	216.22	216.83	219.5	214.07
EVs	TSLA	2021-07-25	216.61	218.02	221.12	214.89
EVs	TSLA	2021-07-26	216.990005	219.206665	222.733337	215.703339
EVs	TSLA	2021-07-27	221.133331	214.926666	222.166672	209.080002
EVs	TSLA	2021-07-28	215.666672	215.660004	218.323334	213.133331
EVs	TSLA	2021-07-29	216.596664	225.78334	227.896667	216.266663
EVs	TSLA	2021-07-30	223.919998	229.066666	232.509995	223.0
EVs	TSLA	2021-07-31	228.63	232.81	237.41	227.9
EVs	TSLA	2021-08-01	230.98	234.68	239.86	230.35
EVs	TSLA	2021-08-02	233.333328	236.556671	242.313339	232.800003
EVs	TSLA	2021-08-03	239.666672	236.580002	240.883331	233.669998
EVs	TSLA	2021-08-04	237.0	236.973328	241.633331	236.309998
EVs	TSLA	2021-08-05	238.666672	238.210007	240.316666	237.136673
EVs	TSLA	2021-08-06	237.300003	233.03334	238.776672	232.543335
EVs	TSLA	2021-08-07	237.01	235.48	239.23	233.79
EVs	TSLA	2021-08-08	236.87	236.7	239.45	234.42
EVs	TSLA	2021-08-09	236.723328	237.919998	239.676666	235.043335
EVs	TSLA	2021-08-10	237.996674	236.66333	238.863327	233.960007
EVs	TSLA	2021-08-11	237.570007	235.940002	238.393326	234.736664
EVs	TSLA	2021-08-12	235.446671	240.75	240.933334	233.133331
EVs	TSLA	2021-08-13	241.236664	239.056671	243.300003	238.113327
EVs	TSLA	2021-08-14	238.13	233.89	239.9	231.79
EVs	TSLA	2021-08-15	236.58	231.31	238.2	228.63
EVs	TSLA	2021-08-16	235.023331	228.723328	236.5	225.46666
EVs	TSLA	2021-08-17	224.220001	221.903336	224.860001	216.279999
EVs	TSLA	2021-08-18	223.25	229.66333	231.92334	223.116669
EVs	TSLA	2021-08-19	226.070007	224.490005	228.850006	222.529999
EVs	TSLA	2021-08-20	227.616669	226.753326	230.710007	224.566666
EVs	TSLA	2021-08-21	228.05	231.09	234.04	225.74
EVs	TSLA	2021-08-22	228.26	233.26	235.71	226.33
EVs	TSLA	2021-08-23	228.479996	235.433334	237.376663	226.916672
EVs	TSLA	2021-08-24	236.893326	236.16333	238.406662	234.213333
EVs	TSLA	2021-08-25	235.676666	237.066666	238.990005	234.666672
EVs	TSLA	2021-08-26	236.103333	233.720001	238.46666	232.539993
EVs	TSLA	2021-08-27	235.0	237.306671	238.333328	234.03334
EVs	TSLA	2021-08-28	236.62	240.47	241.0	235.81
EVs	TSLA	2021-08-29	237.43	242.05	242.33	236.69
EVs	TSLA	2021-08-30	238.240005	243.636673	243.666672	237.57666
EVs	TSLA	2021-08-31	244.333328	245.240005	246.796661	242.146667
