Category	Ticker	Date	Open	Close	High	Low	AggrPercent
Tech	GOOGL	2021-11-02	144.579498	145.432495	146.608994	144.335495	0.59
Tech	GOOGL	2021-11-03	145.900497	146.598007	146.669006	144.591003	0.4781
Tech	GOOGL	2021-11-04	147.124496	148.267502	149.733505	146.307999	0.7769
Tech	GOOGL	2021-11-05	149.169495	148.852005	150.327499	148.197006	-0.2128
Tech	GOOGL	2021-11-06	149.5	148.94	150.47	148.31	-0.3746
Tech	GOOGL	2021-11-07	149.66	148.99	150.54	148.37	-0.4477
Tech	GOOGL	2021-11-08	149.824997	149.031006	150.615005	148.430496	-0.5299
Tech	GOOGL	2021-11-09	149.233002	148.918503	149.834503	147.244995	-0.2107
Tech	GOOGL	2021-11-10	147.5	145.893494	148.070007	144.537506	-1.0892
Tech	GOOGL	2021-11-11	146.489502	145.766495	147.535507	145.600494	-0.4936
Tech	GOOGL	2021-11-12	146.615494	148.677994	148.850006	145.410995	1.4067
Tech	GOOGL	2021-11-13	147.76	148.56	149.2	146.49	0.5414
Tech	GOOGL	2021-11-14	148.33	148.51	149.37	147.03	0.1214
Tech	GOOGL	2021-11-15	148.900497	148.451996	149.5495	147.574997	-0.3012
Tech	GOOGL	2021-11-16	148.149506	147.876007	148.762497	147.3125	-0.1846
Tech	GOOGL	2021-11-17	148.027496	148.046997	148.559494	147.240005	0.0132
Tech	GOOGL	2021-11-18	148.241501	149.838501	150.580505	147.884506	1.0773
Tech	GOOGL	2021-11-19	149.975494	148.926498	150.966507	148.899002	-0.6994
Tech	GOOGL	2021-11-20	149.65	147.61	150.4	147.52	-1.3632
Tech	GOOGL	2021-11-21	149.49	146.96	150.11	146.83	-1.6924
Tech	GOOGL	2021-11-22	149.332504	146.302002	149.829498	146.147507	-2.0294
Tech	GOOGL	2021-11-23	146.153	145.781998	146.660004	144.115005	-0.2538
Tech	GOOGL	2021-11-24	145.473495	146.119995	146.249496	144.373001	0.4444
Tech	GOOGL	2021-11-25	144.91	144.15	145.4	143.11	-0.5245
Tech	GOOGL	2021-11-26	144.348495	142.182999	144.557495	141.842499	-1.5002
Tech	GOOGL	2021-11-27	144.17	143.86	145.43	142.87	-0.215
Tech	GOOGL	2021-11-28	144.08	144.7	145.86	143.38	0.4303
Tech	GOOGL	2021-11-29	144.0	145.530502	146.297501	143.893494	1.0628
Tech	GOOGL	2021-11-30	145.008499	141.897507	146.0	141.601501	-2.1454
Tech	GOOGL	2021-12-01	144.0	141.051498	145.9505	140.912003	-2.0476
Tech	GOOGL	2021-12-02	141.25	142.966003	143.864502	140.214493	1.2149
